date,se,browser,hits
2014-07-18,search,chrome,48940573.0
2014-07-18,yandex,chrome,19289261.0
2014-07-19,search,chrome,40573679.0
2014-07-19,yandex,chrome,15518832.0
2014-07-20,search,chrome,43155560.0
2014-07-20,yandex,chrome,16673187.0
2014-07-21,search,chrome,53191827.0
2014-07-21,yandex,chrome,21147302.0
2014-07-22,search,chrome,52592957.0
2014-07-22,yandex,chrome,20699524.0
2014-07-23,search,chrome,50981746.0
2014-07-23,yandex,chrome,19996672.0
2014-07-24,search,chrome,50035342.0
2014-07-24,yandex,chrome,19651684.0
2014-07-25,search,chrome,47019509.0
2014-07-25,yandex,chrome,18346602.0
2014-07-26,search,chrome,39044192.0
2014-07-26,yandex,chrome,14840552.0
2014-07-27,search,chrome,44776647.0
2014-07-27,yandex,chrome,17317882.0
2014-07-28,search,chrome,51516859.0
2014-07-28,yandex,chrome,20272097.0
2014-07-29,search,chrome,50613930.0
2014-07-29,yandex,chrome,19917289.0
2014-07-30,search,chrome,50417347.0
2014-07-30,yandex,chrome,19807951.0
2014-07-31,search,chrome,49157549.0
2014-07-31,yandex,chrome,19140316.0
2014-08-01,search,chrome,45818901.0
2014-08-01,yandex,chrome,17668776.0
2014-08-02,search,chrome,39091586.0
2014-08-02,yandex,chrome,14731545.0
2014-08-03,search,chrome,41595230.0
2014-08-03,yandex,chrome,15903200.0
2014-08-04,search,chrome,50734318.0
2014-08-04,yandex,chrome,19775091.0
2014-08-05,search,chrome,50294837.0
2014-08-05,yandex,chrome,19609142.0
2014-08-06,search,chrome,49070322.0
2014-08-06,yandex,chrome,19066625.0
2014-08-07,search,chrome,49146760.0
2014-08-07,yandex,chrome,19303938.0
2014-08-08,search,chrome,46461870.0
2014-08-08,yandex,chrome,17900862.0
2014-08-09,search,chrome,38615929.0
2014-08-09,yandex,chrome,14503444.0
2014-08-10,search,chrome,41007349.0
2014-08-10,yandex,chrome,15522487.0
2014-08-11,search,chrome,50620083.0
2014-08-11,yandex,chrome,19805349.0
2014-08-12,search,chrome,50189823.0
2014-08-12,yandex,chrome,19582116.0
2014-08-13,search,chrome,49618405.0
2014-08-13,yandex,chrome,19340024.0
2014-08-14,search,chrome,48513145.0
2014-08-14,yandex,chrome,18694711.0
2014-08-15,search,chrome,46315306.0
2014-08-15,yandex,chrome,17733385.0
2014-08-16,search,chrome,37947781.0
2014-08-16,yandex,chrome,14138521.0
2014-08-17,search,chrome,42163470.0
2014-08-17,yandex,chrome,15862018.0
2014-08-18,search,chrome,50167759.0
2014-08-18,yandex,chrome,19545791.0
2014-08-19,search,chrome,49882465.0
2014-08-19,yandex,chrome,19213255.0
2014-08-20,search,chrome,49940988.0
2014-08-20,yandex,chrome,19430273.0
2014-08-21,search,chrome,0.0
2014-08-21,yandex,chrome,0.0
2014-08-22,search,chrome,46781954.0
2014-08-22,yandex,chrome,18057992.0
2014-08-23,search,chrome,38825950.0
2014-08-23,yandex,chrome,14650565.0
2014-08-24,search,chrome,42428172.0
2014-08-24,yandex,chrome,16074911.0
2014-08-25,search,chrome,45084687.0
2014-08-25,yandex,chrome,17533848.0
2014-08-26,search,chrome,48457707.0
2014-08-26,yandex,chrome,18731000.0
2014-08-27,search,chrome,50987392.0
2014-08-27,yandex,chrome,19800867.0
2014-08-28,search,chrome,50266404.0
2014-08-28,yandex,chrome,19324900.0
2014-08-29,search,chrome,48268404.0
2014-08-29,yandex,chrome,18721597.0
2014-08-30,search,chrome,41599536.0
2014-08-30,yandex,chrome,15801978.0
2014-08-31,search,chrome,43942995.0
2014-08-31,yandex,chrome,16761507.0
2014-09-01,search,chrome,49063214.0
2014-09-01,yandex,chrome,19309777.0
2014-09-02,search,chrome,51099222.0
2014-09-02,yandex,chrome,20128329.0
2014-09-03,search,chrome,51937742.0
2014-09-03,yandex,chrome,20408357.0
2014-09-04,search,chrome,51550092.0
2014-09-04,yandex,chrome,20084587.0
2014-09-05,search,chrome,48130163.0
2014-09-05,yandex,chrome,18409589.0
2014-09-06,search,chrome,41923071.0
2014-09-06,yandex,chrome,15377420.0
2014-09-07,search,chrome,48386543.0
2014-09-07,yandex,chrome,17952272.0
2014-09-08,search,chrome,55971189.0
2014-09-08,yandex,chrome,21340037.0
2014-09-09,search,chrome,55974809.0
2014-09-09,yandex,chrome,21202691.0
2014-09-10,search,chrome,53923106.0
2014-09-10,yandex,chrome,20563923.0
2014-09-11,search,chrome,52931340.0
2014-09-11,yandex,chrome,20200666.0
2014-09-12,search,chrome,49059912.0
2014-09-12,yandex,chrome,18377307.0
2014-09-13,search,chrome,42956744.0
2014-09-13,yandex,chrome,15702231.0
2014-09-14,search,chrome,49054911.0
2014-09-14,yandex,chrome,18272762.0
2014-09-15,search,chrome,55273422.0
2014-09-15,yandex,chrome,21133322.0
2014-09-16,search,chrome,54612197.0
2014-09-16,yandex,chrome,20750675.0
2014-09-17,search,chrome,53495660.0
2014-09-17,yandex,chrome,20387499.0
2014-09-18,search,chrome,53489070.0
2014-09-18,yandex,chrome,20574134.0
2014-09-19,search,chrome,50699327.0
2014-09-19,yandex,chrome,19226826.0
2014-09-20,search,chrome,43810092.0
2014-09-20,yandex,chrome,16139645.0
2014-09-21,search,chrome,50422469.0
2014-09-21,yandex,chrome,18924390.0
2014-09-22,search,chrome,56619413.0
